Time,CPU%,MemoryMB,Handles,Threads,Anomaly
22:58:37,0,155,275,1,False
22:59:07,0,155,275,1,False
22:59:37,0,155,275,1,False
23:00:07,0,155,275,1,False
23:00:37,0,155,275,1,False
23:01:08,0,155,275,1,False
23:01:38,0,155,275,1,False
23:02:08,0,155,275,1,False
23:02:38,0,155,275,1,False
23:03:08,0,155,275,1,False
23:03:38,0,155,275,1,False
23:04:08,0,155,275,1,False
23:04:38,0,155,275,1,False
23:05:08,0,155,275,1,False
23:05:38,0,155,275,1,False
23:06:08,0,155,275,1,False
23:06:38,0,155,275,1,False
23:07:08,0,155,275,1,False
23:07:38,0,155,275,1,False
23:08:08,0,155,275,1,False
23:08:38,0,155,275,1,False
23:09:08,0,155,275,1,False
23:09:38,0,155,275,1,False
23:10:08,0,155,275,1,False
23:10:38,0,155,275,1,False
23:11:08,0,155,275,1,False
23:11:38,0,155,275,1,False
23:12:08,0,155,275,1,False
23:12:38,0,155,275,1,False
23:13:08,0,155,275,1,False
23:13:38,0,155,275,1,False
23:14:08,0,155,275,1,False
23:14:38,0,155,275,1,False
23:15:09,0,155,275,1,False
23:15:39,0,155,275,1,False
23:16:09,0,155,275,1,False
23:16:39,0,155,275,1,False
23:17:09,0,155,275,1,False
23:17:39,0,155,275,1,False
23:18:09,0,155,275,1,False
23:18:39,0,155,275,1,False
23:19:09,0,155,275,1,False
23:19:39,0,155,275,1,False
23:20:09,0,155,275,1,False
23:20:39,0,155,275,1,False
23:21:09,0,155,275,1,False
23:21:39,0,155,275,1,False
23:22:09,0,155,275,1,False
23:22:39,0,155,275,1,False
23:23:09,0,155,275,1,False
23:23:39,0,155,275,1,False
23:24:09,0,155,275,1,False
23:24:39,0,155,275,1,False
23:25:09,0,155,275,1,False
23:25:39,0,155,275,1,False
23:26:09,0,155,275,1,False
23:26:39,0,155,275,1,False
23:27:09,0,155,275,1,False
23:27:39,0,155,275,1,False
23:28:09,0,155,275,1,False
23:28:39,0,155,275,1,False
23:29:09,0,155,275,1,False
23:29:39,0,155,275,1,False
23:30:09,0,155,275,1,False
23:30:39,0,155,275,1,False
23:31:09,0,155,275,1,False
23:31:40,0,155,275,1,False
23:32:10,0,155,275,1,False
23:32:40,0,155,275,1,False
23:33:10,0,155,275,1,False
23:33:40,0,155,275,1,False
23:34:10,0,155,275,1,False
23:34:40,0,155,275,1,False
23:35:10,0,155,275,1,False
23:35:40,0,155,275,1,False
23:36:10,0,155,275,1,False
23:36:40,0,155,275,1,False
23:37:10,0,155,275,1,False
23:37:40,0,155,275,1,False
23:38:10,0,155,275,1,False
23:38:40,0,155,275,1,False
23:39:10,0,155,275,1,False
23:39:40,0,155,275,1,False
23:40:10,0,155,275,1,False
23:40:40,0,155,275,1,False
23:41:10,0,155,275,1,False
23:41:40,0,155,275,1,False
23:42:10,0,155,275,1,False
23:42:40,0,155,275,1,False
23:43:10,0,155,275,1,False
23:43:40,0,155,275,1,False
23:44:10,0,155,275,1,False
23:44:40,0,155,275,1,False
23:45:10,0,155,275,1,False
23:45:40,0,155,275,1,False
23:46:10,0,155,275,1,False
23:46:40,0,155,275,1,False
23:47:11,0,155,275,1,False
23:47:41,0,155,275,1,False
23:48:11,0,155,275,1,False
23:48:41,0,155,275,1,False
23:49:11,0,155,275,1,False
23:49:41,0,155,275,1,False
23:50:11,0,155,275,1,False
23:50:41,0,155,275,1,False
23:51:11,0,155,275,1,False
23:51:41,0,155,275,1,False
23:52:11,0,155,275,1,False
23:52:41,0,155,275,1,False
23:53:11,0,155,275,1,False
23:53:41,0,155,275,1,False
23:54:11,0,155,275,1,False
23:54:41,0,155,275,1,False
23:55:11,0,155,275,1,False
23:55:41,0,155,275,1,False
23:56:11,0,155,275,1,False
23:56:41,0,155,275,1,False
23:57:11,0,155,275,1,False
23:57:41,0,155,275,1,False
23:58:11,0,155,275,1,False
23:58:41,0,155,275,1,False
23:59:11,0,155,275,1,False
23:59:41,0,155,275,1,False
00:00:11,0,155,275,1,False
00:00:41,0,155,275,1,False
00:01:11,0,155,275,1,False
00:01:41,0,155,275,1,False
00:02:11,0,155,275,1,False
00:02:41,0,155,275,1,False
00:03:11,0,155,275,1,False
00:03:41,0,155,275,1,False
00:04:12,0,155,275,1,False
00:04:42,0,155,275,1,False
00:05:12,0,155,275,1,False
00:05:42,0,155,275,1,False
00:06:12,0,155,275,1,False
00:06:42,0,155,275,1,False
00:07:12,0,155,275,1,False
00:07:42,0,155,275,1,False
00:08:12,0,155,275,1,False
00:08:42,0,155,275,1,False
00:09:12,0,155,275,1,False
00:09:42,0,155,275,1,False
00:10:12,0,155,275,1,False
00:10:42,0,155,275,1,False
00:11:12,0,155,275,1,False
00:11:42,0,155,275,1,False
00:12:12,0,155,275,1,False
00:12:42,0,155,275,1,False
00:13:12,0,155,275,1,False
00:13:42,0,155,275,1,False
00:14:12,0,155,275,1,False
00:14:42,0,155,275,1,False
00:15:12,0,155,275,1,False
00:15:42,0,155,275,1,False
